mode,distribution,dot_length,samples,items_per_lane_per_cycle,reference_rms,rmse,nrmse_pct,relative_samples,median_relative_pct,p95_relative_pct,p99_relative_pct,max_abs_error
i8_bf16,outlier,16,2400,1,425.567726260134,0.6091788374350611,0.14314498018646563,1848,0.11558730953942828,0.467543880130576,0.7741099863574787,8.07720947265625
i8_bf16,outlier,64,1600,1,950.5795008530775,1.4377314538761232,0.15124789168984407,1262,0.11041677318589944,0.4443562749306084,0.7828722778886577,13.89434814453125
i8_bf16,outlier,128,1200,1,1193.9615326731775,1.987990455401156,0.16650372738141872,1000,0.1271859803934771,0.5587325545276255,1.1375552651409506,12.9285888671875
i8_bf16,outlier,1024,360,1,3598.341563905847,5.92636823374526,0.16469721199319495,327,0.13965708276909744,0.8138829647419099,1.489263018554044,25.7984619140625
i8_bf16,outlier,4096,120,1,6870.449538778979,12.175402620444403,0.17721406076447546,109,0.16706652007665274,1.0318109365185468,1.871683987822393,39.527028918266296
i8_bf16,cancellation,16,2400,1,338.8241390751149,0.20540865407946327,0.06062397284920885,2400,0.04125743351705654,0.1170620086057036,0.15625519873883445,1.3017578125
i8_bf16,cancellation,64,1600,1,1308.412166317565,0.4104199130456754,0.031367784831959615,1600,0.020937929908954357,0.06104893432730236,0.0805134105246346,1.3380889892578125
i8_bf16,cancellation,128,1200,1,2610.5373581224735,0.600148673569507,0.02298946888088743,1200,0.015828966452251132,0.045278002283767015,0.059376087961072514,2.2740478515625
i8_bf16,cancellation,1024,360,1,20788.972070334727,1.8268948028464795,0.008787807288718264,360,0.006060626546032206,0.017339846696262453,0.022142173518763738,5.686454772949219
i8_bf16,cancellation,4096,120,1,82715.86855254386,3.513890705214735,0.004248145811323489,120,0.0029500611385149355,0.00834059953968142,0.00935521364893565,8.532423973083496
